NF55SW22-B5	84.97.51.126
NF49SW13-B5	84.97.51.127
NF49SW14-B5	84.97.51.128
NF56SW26-B5	84.97.51.132
NF56SW25-B5	84.97.51.131
NF56SW27-B5	84.97.51.141
NF56SW28-B5	84.97.51.142
NF49SW08-M1	84.97.115.40
NF55SW14-M2	84.97.115.48
NF70SW0A-B5-VDC2	84.97.51.2
NF70SW0B-B5-VDC2	84.97.51.5
NF70SW0A-B5-VDC3	84.97.51.3
NF70SW0B-B5-VDC3	84.97.51.6
NF50SW17-B5	84.97.51.121
NF55SW19-B5	84.97.51.43
NF31BL26-B3	10.250.3.28
NF31BL18-B3	10.250.3.20
NF31BL22-B3	10.250.3.24
NF65SW01-B3	10.2.3.33
NF31BL03-B3	10.250.3.3
NF31BL06-B3	10.250.3.6
NF56SW06-B3	10.2.3.22
NF31BL23-B3	10.250.3.25
NF31BL27-B3	10.250.3.29
NF31BL08-B3	10.250.3.8
NF56SW08-B3	10.2.3.24
JD49SW04-B3	10.3.3.36
NF31BL12-B3	10.250.3.14
NF55SW02-B3	10.2.3.18
NF31BL25-B3	10.250.3.27
NF31BL29-B3	10.250.3.31
NF31BL20-B3	10.250.3.22
NF56SW05-B3	10.2.3.21
NF31BL09-B3	10.250.3.9
JD49SW03-B3	10.3.3.35
NF31BL14-B3	10.250.3.16
NF31BL10-B3	10.250.3.10
NF31BL19-B3	10.250.3.21
NF31BL02-B3	10.250.3.2
NF31BL17-B3	10.250.3.19
JD49SW02-B3	10.3.3.34
NF65SW02-B3	10.2.3.34
NF50SW03-B3	10.2.3.19
NF31BL30-B3	10.250.3.32
NF56SW07-B3	10.2.3.23
NF31BL13-B3	10.250.3.15
NF55SW01-B3	10.2.3.17
NF31BL07-B3	10.250.3.7
JD56SW03-B3	10.3.3.37
NF31BL16-B3	10.250.3.18
NF31BL24-B3	10.250.3.26
NF31BL04-B3	10.250.3.4
NF31BL28-B3	10.250.3.30
NF31BL15-B3	10.250.3.17
NF31BL21-B3	10.250.3.23
NF50SW04-B3	10.2.3.20
JD56SW04-B3	10.3.3.38
NF31BL11-B3	10.250.3.13
NF31BL05-B3	10.250.3.5
NF31BL01-B3	10.250.3.1
JD49SW01-B3	10.3.3.33
JD70SW02-C0	76.97.131.2
JD70SW03-C0	76.97.131.3
JD70SW04-C0	76.97.131.4
JD49SW01-C0	76.97.131.81
NF49SW01-C0	84.97.131.81
NF70SW01-C0	84.98.3.1
NF31BL01-F2	84.86.3.11
NF31BL02-F2	84.86.3.12
NF31BL03-F2	84.86.3.13
NF31BL04-F2	84.86.3.14
NF31BL05-F2	84.86.3.15
NF31BL06-F2	84.86.3.16
NF55SW01-F2	84.97.179.17
NF55SW02-F2	84.97.179.18
NF49SW01-F2	84.97.179.19
NF49SW02-F2	84.97.179.20
NF55SW03-F2	84.97.179.21
NF55SW04-F2	84.97.179.22
NF49SW03-F2	84.97.179.23
NF49SW04-F2	84.97.179.24
NF49SW05-F2	84.97.179.25
NF49SW06-F2	84.97.179.26
NF31BL01-F3	84.89.3.11
NF31BL02-F3	84.89.3.12
NF65SW03-B5	84.97.51.47
NF65SW04-B5	84.97.51.48
NF70SW0B-B5-VDC1-FOR-MGT	84.97.51.4
NF70SW0A-B5-VDC1-FOR-MGT	84.97.51.1
NF55SW13-B5	84.97.51.123
NF55SW14-B5	84.97.51.124
NF55SW21-B5	84.97.51.125
NF56SW24-B5	84.97.51.130
NF56SW23-B5	84.97.51.129
NF31BL03-F3	84.89.3.13
NF31BL04-F3	84.89.3.14
NF31BL05-F3	84.89.3.15
NF31BL06-F3	84.89.3.16
NF55SW01-F3	84.97.195.17
NF55SW02-F3	84.97.195.18
NF49SW01-F3	84.97.195.19
NF49SW02-F3	84.97.195.20
NF49SW03-F3	84.97.195.21
NF49SW04-F3	84.97.195.22
NF49SW05-F3	84.97.195.23
NF49SW06-F3	84.97.195.24
NF31BL108-B5	84.6.19.108
NF31BL109-B5	84.6.19.109
NF31BL110-B5	84.6.19.110
NF31BL97-B5	84.6.19.111
